Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
52	0.0007982254028320312	0.24553635716438293	0.9666666666666667	0.71	0.71
53	0.0008642673492431641	0.22859348356723785	0.975	0.704	0.699
54	0.0008561611175537109	0.23892781138420105	0.9666666666666667	0.706	0.734
55	0.0008640289306640625	0.256631076335907	0.975	0.66	0.678
56	0.0008654594421386719	0.28727588057518005	0.925	0.682	0.678
57	0.0008816719055175781	0.2235933244228363	0.975	0.676	0.681
58	0.0008647441864013672	0.25823500752449036	0.9416666666666667	0.652	0.685
59	0.0007812976837158203	0.2211131751537323	0.9583333333333334	0.696	0.713
60	0.0008025169372558594	0.22801868617534637	0.9666666666666667	0.686	0.681
61	0.0027523040771484375	0.20061072707176208	0.975	0.704	0.708
1	0.0035283565521240234	1.8213932514190674	0.11666666666666667	0.076	0.099
2	0.0007581710815429688	10.464280128479004	0.16666666666666666	0.212	0.231
3	0.0019218921661376953	11.38609790802002	0.20833333333333334	0.244	0.189
4	0.0007982254028320312	8.738943099975586	0.16666666666666666	0.188	0.169
5	0.0027751922607421875	10.20576286315918	0.16666666666666666	0.058	0.077
6	0.0007126331329345703	4.558159828186035	0.18333333333333332	0.058	0.077
7	0.0008013248443603516	4.420267581939697	0.23333333333333334	0.174	0.187
8	0.0007736682891845703	4.474509239196777	0.16666666666666666	0.138	0.16
9	0.0006673336029052734	4.6386871337890625	0.325	0.366	0.359
10	0.0007636547088623047	4.233523368835449	0.325	0.372	0.369
11	0.0008947849273681641	2.820413827896118	0.5083333333333333	0.512	0.462
12	0.00203704833984375	2.8378713130950928	0.19166666666666668	0.188	0.171
13	0.0008258819580078125	2.3006224632263184	0.35	0.298	0.295
14	0.0009436607360839844	1.3680102825164795	0.5166666666666667	0.312	0.335
15	0.0007963180541992188	1.1624666452407837	0.5166666666666667	0.174	0.195
16	0.0007681846618652344	1.7663633823394775	0.23333333333333334	0.06	0.081
17	0.0007956027984619141	1.3510152101516724	0.375	0.102	0.132
